text,label,conf_pos,conf_neg
carboplatin leukemia april num juli num num4 cancer leukemia group b calgb conduct phase ii studi etoposid carboplatin advanc ajc stage iiib-iv non-small-cel lung cancer nsclc patient whose perform statu ps num-num,0,0.0,1.0
etoposid cancer april num juli num num4 cancer leukemia group b calgb conduct phase ii studi etoposid carboplatin advanc ajc stage iiib-iv non-small-cel lung cancer nsclc patient whose perform statu ps num-num,0,0.0,1.0
carboplatin cancer april num juli num num4 cancer leukemia group b calgb conduct phase ii studi etoposid carboplatin advanc ajc stage iiib-iv non-small-cel lung cancer nsclc patient whose perform statu ps num-num,0,0.0,1.0
etoposid leukemia april num juli num num4 cancer leukemia group b calgb conduct phase ii studi etoposid carboplatin advanc ajc stage iiib-iv non-small-cel lung cancer nsclc patient whose perform statu ps num-num,0,0.0,1.0
carboplatin non-small-cel lung cancer/nsclc april num juli num num4 cancer leukemia group b calgb conduct phase ii studi etoposid carboplatin advanc ajc stage iiib-iv non-small-cel lung cancer nsclc patient whose perform statu ps num-num,0,0.0,1.0
etoposid non-small-cel lung cancer/nsclc april num juli num num4 cancer leukemia group b calgb conduct phase ii studi etoposid carboplatin advanc ajc stage iiib-iv non-small-cel lung cancer nsclc patient whose perform statu ps num-num,0,0.0,1.0
cholesterol glomerular diseas baselin control period num week usual diet num2 untreat patient chronic glomerular diseas stabl long-last sever proteinuria num sd num g/num2 h hyperlipidaemia mean serum cholesterol numnum2 numnum2 mmol/l ate vegetarian soy diet num week,0,0.0,1.0
cholesterol proteinuria baselin control period num week usual diet num2 untreat patient chronic glomerular diseas stabl long-last sever proteinuria num sd num g/num2 h hyperlipidaemia mean serum cholesterol numnum2 numnum2 mmol/l ate vegetarian soy diet num week,0,0.0,1.0
medroxyprogesteron acetate/mpa cholelithiasi five out forty-f adult men num2 year age less receiv least six month medroxyprogesteron acet mpa depo provera im num3-num3 mg/week prevent sex-offend genital-mutil behavior develop symptomat cholelithiasi,1,0.8042,0.19579999999999997
progesteron gallbladd diseas find consist increas incid gallbladd diseas relat high-progesteron state suggest mpa may caus agent cholelithiasi,1,0.7987,0.20130000000000003
progesteron cholelithiasi find consist increas incid gallbladd diseas relat high-progesteron state suggest mpa may caus agent cholelithiasi,0,0.0,1.0
mpa cholelithiasi find consist increas incid gallbladd diseas relat high-progesteron state suggest mpa may caus agent cholelithiasi,1,1.0,0.0
methotrex rheumatoid arthriti acceler nodulosi low dose methotrex therapi rheumatoid arthriti,0,0.0,1.0
methotrex acceler nodulosi acceler nodulosi low dose methotrex therapi rheumatoid arthriti,1,0.8267,0.1733
methotrexate/mtx rheumatoid arthritis/ra obtain inform occurr acceler nodulosi methotrex mtx rheumatoid arthriti ra local size presenc heart lung nodul predispos factor relationship extraarticular manifest eam histolog featur,0,0.0,1.0
mtx acceler nodulosi acceler nodulosi occur exclus treatment mtx doubl blind studi,1,1.0,0.0
mtx ra acceler nodulosi mtx ra not rare occur despit good clinic respons polyarthr,0,0.0,1.0
mtx acceler nodulosi acceler nodulosi mtx ra not rare occur despit good clinic respons polyarthr,1,1.0,0.0
mtx polyarthr acceler nodulosi mtx ra not rare occur despit good clinic respons polyarthr,0,0.0,1.0
nucleosid human immunodefici viru object studi determin popul pharmacokinet paramet extent absorpt num num'-dideoxyinosin nucleosid analog activ against human immunodefici viru vitro vivo oral intraven administr use non-linear mix effect model,0,0.0,1.0
num num'-dideoxyinosin human immunodefici viru object studi determin popul pharmacokinet paramet extent absorpt num num'-dideoxyinosin nucleosid analog activ against human immunodefici viru vitro vivo oral intraven administr use non-linear mix effect model,0,0.0,1.0
bombesin gastrinoma bombesin equival mammalian gastrin-releas peptid trophic effect normal neoplast tissu gastrointestin tract effect gut hormon growth gastrinoma not known,0,0.1945,0.8055
bombesin tumor bombesin significantli stimul growth pt tumor day num2 mice sacrif day num2,1,1.0,0.0
bombesin gastrinoma demonstr first time bombesin trophic hormon gastrinoma,1,0.613,0.387
sertralin depress one hundr patient major depress discontinu fluoxetin side effect enrol multicent open num-week studi sertralin,0,0.0,1.0
fluoxetin depress one hundr patient major depress discontinu fluoxetin side effect enrol multicent open num-week studi sertralin,0,0.2136,0.7864
sertralin depress num2 evalu patient num2 sertraline-tr patient num2num experienc signific improv depress,0,0.18879999999999997,0.8112
ifosfamid tumor current studi ifosfamid pediatr solid tumor leukemia unit state,0,0.1886,0.8114
ifosfamid leukemia current studi ifosfamid pediatr solid tumor leukemia unit state,0,0.0,1.0
ifosfamid malign paper review current approach use ifosfamide/mesna alon combin agent modal treatment pediatr malign,0,0.0,1.0
mesna malign paper review current approach use ifosfamide/mesna alon combin agent modal treatment pediatr malign,0,0.0,1.0
cyclophosphamid malign random trial determin rel efficaci ifosfamid cyclophosphamid variou childhood malign way,0,0.0,1.0
ifosfamid malign random trial determin rel efficaci ifosfamid cyclophosphamid variou childhood malign way,0,0.0,1.0
ifosfamid bladder cancer long-term consequ ifosfamid survivor childhood cancer term develop bladder cancer malign thought associ alkyl agent not known determin follow-up studi adult survivor,0,0.1995,0.8005
ifosfamid cancer long-term consequ ifosfamid survivor childhood cancer term develop bladder cancer malign thought associ alkyl agent not known determin follow-up studi adult survivor,0,0.1935,0.8065
ifosfamid malign long-term consequ ifosfamid survivor childhood cancer term develop bladder cancer malign thought associ alkyl agent not known determin follow-up studi adult survivor,0,0.20750000000000002,0.7925
ok-num3 tumor thirti ke ok-num3 inject tumor per week total num2-k num ke ok-num3 inocul intracutan space per week total num3 ke,0,0.0,1.0
rp num5 rp vitro antistaphylococc activ rp num5 new streptogramin compar vancomycin teicoplanin against staphylococcu aureu rp num5 activ agent against coagulase-neg staphylococci,0,0.0,1.0
vancomycin rp vitro antistaphylococc activ rp num5 new streptogramin compar vancomycin teicoplanin against staphylococcu aureu rp num5 activ agent against coagulase-neg staphylococci,0,0.0,1.0
melatonin tumor vivo tumor-inhibit activ melatonin establish observ vitro effect contradictori,0,0.0,1.0
melatonin cancer effect substanc investig six human cancer cell line compar activ partial purifi melatonin-fre low molecular weight pineal extract umo5r,0,0.0,1.0
melatonin tumor therefor conclud direct inhibit action tumor cell not gener physiolog role melatonin oppos umo5r,0,0.0,1.0
pentostatin hairi cell leukemia similar interferon alpha pentostatin highli effect hairi cell leukemia moder activ chronic lymphoid malign,0,0.20679999999999998,0.7932
pentostatin lymphoid malign similar interferon alpha pentostatin highli effect hairi cell leukemia moder activ chronic lymphoid malign,0,0.0,1.0
"pentostatin chronic leukemia ten patient hairi cell leukemia hcl seven patient b-cell chronic leukemia bcl studi intracellular num num'-oligoadenyl synthetas num,5oa activ mononuclear cell num h num2 h num2 h pentostatin administr",0,0.0,1.0
"pentostatin hcl/hairi cell leukemia ten patient hairi cell leukemia hcl seven patient b-cell chronic leukemia bcl studi intracellular num num'-oligoadenyl synthetas num,5oa activ mononuclear cell num h num2 h num2 h pentostatin administr",0,0.0,1.0
"num num'-oligoadenyl hcl/hairi cell leukemia ten patient hairi cell leukemia hcl seven patient b-cell chronic leukemia bcl studi intracellular num num'-oligoadenyl synthetas num,5oa activ mononuclear cell num h num2 h num2 h pentostatin administr",0,0.0,1.0
"num num'-oligoadenyl chronic leukemia ten patient hairi cell leukemia hcl seven patient b-cell chronic leukemia bcl studi intracellular num num'-oligoadenyl synthetas num,5oa activ mononuclear cell num h num2 h num2 h pentostatin administr",0,0.0,1.0
pentostatin hcl eleven patient eight hcl two bcl respond pentostatin,0,0.0,1.0
indomethacin stroke use doppler technolog determin cardiac output stroke volum total peripher resist three num2-mg dose indomethacin,0,0.2146,0.7854
indomethacin stroke although blood pressur not chang peripher resist rose stroke volum fell follow indomethacin administr,0,0.20779999999999998,0.7922
amphotericin b. nausea analyz daili basi mean chill score meperidin dosag puls rise also higher addit nausea vomit num num2 patient receiv rapid infus versu num num patient receiv slow infus p less numnum2 appear common receiv amphotericin b rapidli,1,1.0,0.0
amphotericin b. vomit analyz daili basi mean chill score meperidin dosag puls rise also higher addit nausea vomit num num2 patient receiv rapid infus versu num num patient receiv slow infus p less numnum2 appear common receiv amphotericin b rapidli,0,0.39280000000000004,0.6072
metolazon bronchopulmonari dysplasia addit metolazon overcom toler furosemid infant bronchopulmonari dysplasia,0,0.19130000000000003,0.8087
furosemid bronchopulmonari dysplasia addit metolazon overcom toler furosemid infant bronchopulmonari dysplasia,0,0.0,1.0
sodium bronchopulmonari dysplasia conclud administr metolazon furosemid enhanc diuresi natriuresi chloruresi overcom rapid develop toler furosemid infant bronchopulmonari dysplasia block compensatori increas renal sodium chlorid absorpt,0,0.0,1.0
metolazon bronchopulmonari dysplasia conclud administr metolazon furosemid enhanc diuresi natriuresi chloruresi overcom rapid develop toler furosemid infant bronchopulmonari dysplasia block compensatori increas renal sodium chlorid absorpt,0,0.0,1.0
furosemid bronchopulmonari dysplasia conclud administr metolazon furosemid enhanc diuresi natriuresi chloruresi overcom rapid develop toler furosemid infant bronchopulmonari dysplasia block compensatori increas renal sodium chlorid absorpt,0,0.0,1.0
chlorid bronchopulmonari dysplasia conclud administr metolazon furosemid enhanc diuresi natriuresi chloruresi overcom rapid develop toler furosemid infant bronchopulmonari dysplasia block compensatori increas renal sodium chlorid absorpt,0,0.0,1.0
steroid hepat b. report two hepat b viru hbv carrier liver failur withdraw corticosteroid steroid administ treatment seriou asthmat attack,0,0.0,1.0
steroid liver failur report two hepat b viru hbv carrier liver failur withdraw corticosteroid steroid administ treatment seriou asthmat attack,1,0.6112,0.38880000000000003
corticosteroid hepat b. report two hepat b viru hbv carrier liver failur withdraw corticosteroid steroid administ treatment seriou asthmat attack,0,0.0,1.0
steroid asthmat report two hepat b viru hbv carrier liver failur withdraw corticosteroid steroid administ treatment seriou asthmat attack,0,0.0,1.0
corticosteroid asthmat report two hepat b viru hbv carrier liver failur withdraw corticosteroid steroid administ treatment seriou asthmat attack,0,0.0,1.0
steroid liver failur steroid readministr intens therapi liver failur not prevent death,0,0.0,1.0
steroid death steroid readministr intens therapi liver failur not prevent death,0,0.0,1.0
steroid liver diseas excess immun respons provok steroid withdraw decreas reserv capac due underli chronic liver diseas thought factor liver failur,0,0.2096,0.7904
steroid liver failur excess immun respons provok steroid withdraw decreas reserv capac due underli chronic liver diseas thought factor liver failur,0,0.38470000000000004,0.6153
steroid hbv infect caution must exercis administr steroid patient underli chronic hbv infect prevent exacerb hepat,0,0.0,1.0
steroid hepat caution must exercis administr steroid patient underli chronic hbv infect prevent exacerb hepat,1,0.8009,0.19910000000000005
steroid liver failur prompt readministr steroid indic evid liver failur develop,0,0.0,1.0
methionin sclc summari bn analogu lack c-termin methionin may function use sclc bn receptor antagonist,0,0.0,1.0
bn sclc summari bn analogu lack c-termin methionin may function use sclc bn receptor antagonist,0,0.20750000000000002,0.7925
tamoxifen neuroblastoma non-myelotox antitumour effect l-dopa buthionin sulphoximin tamoxifen neuroblastoma cell vitro vivo,0,0.17599999999999993,0.8240000000000001
l-dopa melanoma effect three non-myelotox cancer drug growth neuroblastoma cell investig vitro vivo dihydroxyphenylalanin l-dopa drug select toxic melanoma cell dl-buthionin sulphoximin bso drug radiosensit effect tamoxifen drug use treatment human mammari carcinoma,0,0.0,1.0
tamoxifen melanoma effect three non-myelotox cancer drug growth neuroblastoma cell investig vitro vivo dihydroxyphenylalanin l-dopa drug select toxic melanoma cell dl-buthionin sulphoximin bso drug radiosensit effect tamoxifen drug use treatment human mammari carcinoma,0,0.0,1.0
tamoxifen toxic effect three non-myelotox cancer drug growth neuroblastoma cell investig vitro vivo dihydroxyphenylalanin l-dopa drug select toxic melanoma cell dl-buthionin sulphoximin bso drug radiosensit effect tamoxifen drug use treatment human mammari carcinoma,0,0.0,1.0
dihydroxyphenylalanin human mammari carcinoma effect three non-myelotox cancer drug growth neuroblastoma cell investig vitro vivo dihydroxyphenylalanin l-dopa drug select toxic melanoma cell dl-buthionin sulphoximin bso drug radiosensit effect tamoxifen drug use treatment human mammari carcinoma,0,0.0,1.0
l-dopa human mammari carcinoma effect three non-myelotox cancer drug growth neuroblastoma cell investig vitro vivo dihydroxyphenylalanin l-dopa drug select toxic melanoma cell dl-buthionin sulphoximin bso drug radiosensit effect tamoxifen drug use treatment human mammari carcinoma,0,0.0,1.0
l-dopa neuroblastoma effect three non-myelotox cancer drug growth neuroblastoma cell investig vitro vivo dihydroxyphenylalanin l-dopa drug select toxic melanoma cell dl-buthionin sulphoximin bso drug radiosensit effect tamoxifen drug use treatment human mammari carcinoma,0,0.0,1.0
tamoxifen neuroblastoma effect three non-myelotox cancer drug growth neuroblastoma cell investig vitro vivo dihydroxyphenylalanin l-dopa drug select toxic melanoma cell dl-buthionin sulphoximin bso drug radiosensit effect tamoxifen drug use treatment human mammari carcinoma,0,0.0,1.0
tamoxifen human mammari carcinoma effect three non-myelotox cancer drug growth neuroblastoma cell investig vitro vivo dihydroxyphenylalanin l-dopa drug select toxic melanoma cell dl-buthionin sulphoximin bso drug radiosensit effect tamoxifen drug use treatment human mammari carcinoma,0,0.0,1.0
dihydroxyphenylalanin neuroblastoma effect three non-myelotox cancer drug growth neuroblastoma cell investig vitro vivo dihydroxyphenylalanin l-dopa drug select toxic melanoma cell dl-buthionin sulphoximin bso drug radiosensit effect tamoxifen drug use treatment human mammari carcinoma,0,0.0,1.0
dihydroxyphenylalanin melanoma effect three non-myelotox cancer drug growth neuroblastoma cell investig vitro vivo dihydroxyphenylalanin l-dopa drug select toxic melanoma cell dl-buthionin sulphoximin bso drug radiosensit effect tamoxifen drug use treatment human mammari carcinoma,0,0.19540000000000002,0.8046
dopamin neuroblastoma tumour growth neuroblastoma tumour inhibit differ mechan l-dopa metabolit dopamin reduc activ tyrosinas bso reduc glutathion level l-dopa tamoxifen rais camp concentr,0,0.0,1.0
glutathion neuroblastoma tumour growth neuroblastoma tumour inhibit differ mechan l-dopa metabolit dopamin reduc activ tyrosinas bso reduc glutathion level l-dopa tamoxifen rais camp concentr,0,0.0,1.0
camp neuroblastoma tumour growth neuroblastoma tumour inhibit differ mechan l-dopa metabolit dopamin reduc activ tyrosinas bso reduc glutathion level l-dopa tamoxifen rais camp concentr,0,0.20240000000000002,0.7976
l-dopa neuroblastoma tumour growth neuroblastoma tumour inhibit differ mechan l-dopa metabolit dopamin reduc activ tyrosinas bso reduc glutathion level l-dopa tamoxifen rais camp concentr,0,0.0,1.0
tamoxifen neuroblastoma tumour growth neuroblastoma tumour inhibit differ mechan l-dopa metabolit dopamin reduc activ tyrosinas bso reduc glutathion level l-dopa tamoxifen rais camp concentr,0,0.0,1.0
methacholin asthmat ten asthmat subject studi three occas bronchial challeng aerosol paf methacholin isoton salin,0,0.0,1.0
oxygen retino acid/ra investig effect retino acid ra retinyl acet rac product reactiv oxygen metabolit releas lysosom enzym human polymorphonuclear leukocyt pmn,0,0.0,1.0
retinyl acet retino acid/ra investig effect retino acid ra retinyl acet rac product reactiv oxygen metabolit releas lysosom enzym human polymorphonuclear leukocyt pmn,0,0.0,1.0
retino acid retino acid/ra investig effect retino acid ra retinyl acet rac product reactiv oxygen metabolit releas lysosom enzym human polymorphonuclear leukocyt pmn,0,0.0,1.0
anum5 ra incub pmn rac ra num-num3 microm caus dose-depend inhibit upto num2 o2- product chemiluminesc induc phorbol myrist acet pma n-formyl-methionyl-leucyl-phenylanalin fmlp opson zymosan ionophor anum5,0,0.0,1.0
o2 ra incub pmn rac ra num-num3 microm caus dose-depend inhibit upto num2 o2- product chemiluminesc induc phorbol myrist acet pma n-formyl-methionyl-leucyl-phenylanalin fmlp opson zymosan ionophor anum5,0,0.0,1.0
phorbol myrist acetate/pma ra incub pmn rac ra num-num3 microm caus dose-depend inhibit upto num2 o2- product chemiluminesc induc phorbol myrist acet pma n-formyl-methionyl-leucyl-phenylanalin fmlp opson zymosan ionophor anum5,0,0.36939999999999995,0.6306
retinoid ra retinoid num-num3 microm also inhibit dose-depend way degranul induc fmlp upto num2 highest concentr ra,0,0.19510000000000005,0.8049
zidovudin aid surrog marker surviv patient aid aid relat complex treat zidovudin,0,0.0,1.0
zidovudin aid determin whether earli effect zidovudin treatment cd4+ lymphocyt count concentr beta num microglobulin neopterin hiv pnum2 antigen antibodi correl surviv patient aid aid relat complex,0,0.0,1.0
neopterin aid determin whether earli effect zidovudin treatment cd4+ lymphocyt count concentr beta num microglobulin neopterin hiv pnum2 antigen antibodi correl surviv patient aid aid relat complex,0,0.0,1.0
neopterin aid pretreat characterist independ predict poor surviv determin use multivari proport hazard model diagnosi aid v aid relat complex age num2 year logarithm serum neopterin concentr,0,0.0,1.0
thiazid hypertensive/hypertens thiazid diuret remain drug first choic treat hypertens african-american hypertens,0,0.0,1.0
calcium diastol dysfunct calcium channel blocker ccb attract altern thiazid patient uncontrol intoler thiazid specif indic agent eg angina sever diastol dysfunct,0,0.18630000000000002,0.8137
thiazid angina calcium channel blocker ccb attract altern thiazid patient uncontrol intoler thiazid specif indic agent eg angina sever diastol dysfunct,0,0.20079999999999998,0.7992
calcium angina calcium channel blocker ccb attract altern thiazid patient uncontrol intoler thiazid specif indic agent eg angina sever diastol dysfunct,0,0.0,1.0
thiazid diastol dysfunct calcium channel blocker ccb attract altern thiazid patient uncontrol intoler thiazid specif indic agent eg angina sever diastol dysfunct,0,0.0,1.0
alcohol viral hepat includ requir improv enzymolog screen despit introduct test hepat c imbal popular unexplain chronic aminotransferas elev effort solv inher problem inadequ attempt use metabol chang hepatocyt improv diagnosi prognosi pathophysiolog understand viral liver diseas remark investig num'-num'-oligoadenyl synthetas better control interferon therapi chronic viral hepat use enzym marker etiolog particularli detect alcohol induc liver diseas continu prefer aminotransferas scenario although ratio aspart aminotransferas alanin aminotransferas mitochondri aspart aminotransferas total aspart aminotransferas activ larg depend sever intralobular local damag stage liver diseas,0,0.0,1.0
alcohol hepat c. includ requir improv enzymolog screen despit introduct test hepat c imbal popular unexplain chronic aminotransferas elev effort solv inher problem inadequ attempt use metabol chang hepatocyt improv diagnosi prognosi pathophysiolog understand viral liver diseas remark investig num'-num'-oligoadenyl synthetas better control interferon therapi chronic viral hepat use enzym marker etiolog particularli detect alcohol induc liver diseas continu prefer aminotransferas scenario although ratio aspart aminotransferas alanin aminotransferas mitochondri aspart aminotransferas total aspart aminotransferas activ larg depend sever intralobular local damag stage liver diseas,0,0.39390000000000003,0.6061
alcohol liver diseases/liv diseas includ requir improv enzymolog screen despit introduct test hepat c imbal popular unexplain chronic aminotransferas elev effort solv inher problem inadequ attempt use metabol chang hepatocyt improv diagnosi prognosi pathophysiolog understand viral liver diseas remark investig num'-num'-oligoadenyl synthetas better control interferon therapi chronic viral hepat use enzym marker etiolog particularli detect alcohol induc liver diseas continu prefer aminotransferas scenario although ratio aspart aminotransferas alanin aminotransferas mitochondri aspart aminotransferas total aspart aminotransferas activ larg depend sever intralobular local damag stage liver diseas,1,1.0,0.0
alanin hepat c. includ requir improv enzymolog screen despit introduct test hepat c imbal popular unexplain chronic aminotransferas elev effort solv inher problem inadequ attempt use metabol chang hepatocyt improv diagnosi prognosi pathophysiolog understand viral liver diseas remark investig num'-num'-oligoadenyl synthetas better control interferon therapi chronic viral hepat use enzym marker etiolog particularli detect alcohol induc liver diseas continu prefer aminotransferas scenario although ratio aspart aminotransferas alanin aminotransferas mitochondri aspart aminotransferas total aspart aminotransferas activ larg depend sever intralobular local damag stage liver diseas,0,0.0,1.0
aspart viral hepat includ requir improv enzymolog screen despit introduct test hepat c imbal popular unexplain chronic aminotransferas elev effort solv inher problem inadequ attempt use metabol chang hepatocyt improv diagnosi prognosi pathophysiolog understand viral liver diseas remark investig num'-num'-oligoadenyl synthetas better control interferon therapi chronic viral hepat use enzym marker etiolog particularli detect alcohol induc liver diseas continu prefer aminotransferas scenario although ratio aspart aminotransferas alanin aminotransferas mitochondri aspart aminotransferas total aspart aminotransferas activ larg depend sever intralobular local damag stage liver diseas,0,0.0,1.0
alanin viral hepat includ requir improv enzymolog screen despit introduct test hepat c imbal popular unexplain chronic aminotransferas elev effort solv inher problem inadequ attempt use metabol chang hepatocyt improv diagnosi prognosi pathophysiolog understand viral liver diseas remark investig num'-num'-oligoadenyl synthetas better control interferon therapi chronic viral hepat use enzym marker etiolog particularli detect alcohol induc liver diseas continu prefer aminotransferas scenario although ratio aspart aminotransferas alanin aminotransferas mitochondri aspart aminotransferas total aspart aminotransferas activ larg depend sever intralobular local damag stage liver diseas,0,0.0,1.0
alanin liver diseases/liv diseas includ requir improv enzymolog screen despit introduct test hepat c imbal popular unexplain chronic aminotransferas elev effort solv inher problem inadequ attempt use metabol chang hepatocyt improv diagnosi prognosi pathophysiolog understand viral liver diseas remark investig num'-num'-oligoadenyl synthetas better control interferon therapi chronic viral hepat use enzym marker etiolog particularli detect alcohol induc liver diseas continu prefer aminotransferas scenario although ratio aspart aminotransferas alanin aminotransferas mitochondri aspart aminotransferas total aspart aminotransferas activ larg depend sever intralobular local damag stage liver diseas,0,0.0,1.0
aspart hepat c. includ requir improv enzymolog screen despit introduct test hepat c imbal popular unexplain chronic aminotransferas elev effort solv inher problem inadequ attempt use metabol chang hepatocyt improv diagnosi prognosi pathophysiolog understand viral liver diseas remark investig num'-num'-oligoadenyl synthetas better control interferon therapi chronic viral hepat use enzym marker etiolog particularli detect alcohol induc liver diseas continu prefer aminotransferas scenario although ratio aspart aminotransferas alanin aminotransferas mitochondri aspart aminotransferas total aspart aminotransferas activ larg depend sever intralobular local damag stage liver diseas,0,0.0,1.0
aspart liver diseases/liv diseas includ requir improv enzymolog screen despit introduct test hepat c imbal popular unexplain chronic aminotransferas elev effort solv inher problem inadequ attempt use metabol chang hepatocyt improv diagnosi prognosi pathophysiolog understand viral liver diseas remark investig num'-num'-oligoadenyl synthetas better control interferon therapi chronic viral hepat use enzym marker etiolog particularli detect alcohol induc liver diseas continu prefer aminotransferas scenario although ratio aspart aminotransferas alanin aminotransferas mitochondri aspart aminotransferas total aspart aminotransferas activ larg depend sever intralobular local damag stage liver diseas,0,0.0,1.0
pp tumor daili intraperiton inject pp toler well athym nude mice prevent growth subcutan sw-num2/k-fgf tumor xenograft,0,0.0,1.0
cyclophosphamid granulomatosi cours wegen granulomatosi dramat improv daili treatment cyclophosphamid glucocorticoid,0,0.0,1.0
cyclophosphamid toxic despit continu therapeut success cyclophosphamid long-term follow-up patient wegen granulomatosi led increas concern toxic result prolong cyclophosphamid therapi encourag investig therapeut regimen,1,1.0,0.0
cyclophosphamid granulomatosi despit continu therapeut success cyclophosphamid long-term follow-up patient wegen granulomatosi led increas concern toxic result prolong cyclophosphamid therapi encourag investig therapeut regimen,0,0.38880000000000003,0.6112
amino acid critic ill. effect fuel sourc amino acid metabol critic ill patient,0,0.0,1.0
glucos critic ill. glucos prove nitrogen spare properti postop patient critic ill patient toler glucos load poorli fat appear obligatori fuel sepsi,0,0.0,1.0
nitrogen critic ill. glucos prove nitrogen spare properti postop patient critic ill patient toler glucos load poorli fat appear obligatori fuel sepsi,0,0.0,1.0
glucos sepsi glucos prove nitrogen spare properti postop patient critic ill patient toler glucos load poorli fat appear obligatori fuel sepsi,0,0.17369999999999997,0.8263
nitrogen sepsi glucos prove nitrogen spare properti postop patient critic ill patient toler glucos load poorli fat appear obligatori fuel sepsi,0,0.20499999999999996,0.795
glucos glucos intoler four patient g regimen withdrawn due glucos intoler none patient gf develop glucos intoler hyperlipidaemia,0,0.19089999999999996,0.8091
heparin fractur hip heparin graduat compress stock patient undergo fractur hip surgeri,0,0.0,1.0
heparin fractur hip studi confirm therapi heparin graduat compress stock effect inexpens conveni prevent venou thrombosi fractur hip patient associ low bleed risk,0,0.0,1.0
heparin bleed studi confirm therapi heparin graduat compress stock effect inexpens conveni prevent venou thrombosi fractur hip patient associ low bleed risk,0,0.18930000000000002,0.8107
heparin venou thrombosi studi confirm therapi heparin graduat compress stock effect inexpens conveni prevent venou thrombosi fractur hip patient associ low bleed risk,0,0.0,1.0
dipyridamol hemorrheolog blood coagul effect buflomedil dipyridamol indobufen hemorrheolog blood coagul paramet patient underw vascular surgeri sever atherosclerosi,0,0.16610000000000003,0.8339
dipyridamol atherosclerosi effect buflomedil dipyridamol indobufen hemorrheolog blood coagul paramet patient underw vascular surgeri sever atherosclerosi,0,0.1966,0.8034
cyclosporin a. psoriasi solubl il-num receptor cdnum2 cell psoriasi effect cyclosporin puva therapi,0,0.2067,0.7933
cyclosporin a/csa psoriasi studi conduct quantifi solubl il-num receptor sil-2r level sera num2 chronic plaqu psoriasi patient correl measur diseas activ number il-2r-posit cdnum2+ lymphocyt lesion biopsi num2 cyclosporin csa num2 psoralen plu ultraviolet radiat puva treat patient,0,0.2107,0.7893
steroid edema mani facial plastic surgeon use periop steroid reduc postop edema morbid,0,0.0,1.0
steroid edema found significantli less postop eyelid paranas edema patient receiv steroid,0,0.0,1.0
steroid edema addit trend toward less ecchymosi less intranas edema less discomfort patient receiv steroid note,0,0.18830000000000002,0.8117
digoxin atrial fibril data indic patient develop spontan postop atrial fibril treat digoxin num week follow oper drug therapi may discontinu indefinit,0,0.0,1.0
cephalosporin neutropen third-gener cephalosporin import part therapeut armamentarium empir manag neutropen patient,0,0.0,1.0
ceftriaxon neutropen even combin aminoglycosid ceftriaxon would not good choic neutropen patient,0,0.0,1.0
aminoglycosid neutropen even combin aminoglycosid ceftriaxon would not good choic neutropen patient,0,0.0,1.0
glucos diabet effect konjac food blood glucos level patient diabet,0,0.19689999999999996,0.8031
glucos blood glucos effect konjac food blood glucos level patient diabet,0,0.0,1.0
glucos blood glucos data analyz multipl f test indic fast blood glucos fbg num-h postprandi blood glucos pbg num2th num2th day food ingest significantli reduc p numnum3 p less numnum3 respect glycosyl hemoglobin level end trial p less numnum2,0,0.0,1.0
nimodipin urticaria nimodipin versu terfenadin treatment physic stimulus-induc urticaria,0,0.19530000000000003,0.8047
terfenadin urticaria nimodipin versu terfenadin treatment physic stimulus-induc urticaria,0,0.0,1.0
