text,crowd_label,conf0,conf1
"If the woman on the cover of this book looks familiar, that's because you've probably seen her in one of countless fitness magazines, sporting a winning smile and a fabulous figure. I used to read some hardcore fitness magazines until I realized that the women featured in them had made working out their lives...and I wasn't ever going to go that far. I used to marvel at the strict regimin of low fat, high protein mini meals coupled with intense daily workouts. Being an on-again-off-again raw vegan for years, I used to wonder what they would say about strength training and the raw diet. Well, now there's someone doing it! When national fitness competitor, model, and personal trainer Kathy Feldman was diagnosed with hypothyroidism causing excessive weight gain, she began looking for new answers to her diet and exercise regimin. She discovered raw foods and learned that she no longer had to over-exercise to keep her lean and strong physique. Kathy recommends an 80% raw diet consisting of fresh juices with Vitamineral Green for breakfast followed by fresh fruits; an early afternoon snack, one of her delicious Raw Crunch Bars; a mid afternoon salad; another Raw Crunch Bar in the late afternoon; and your dinner of choice (cooked). She highly recommends vegan eating, but this is not a strict, boring diet, and it will definitely appeal to the average eater of the Standard American Diet (SAD). Kathy keeps it simple; this book is short and sweet and explains all the basics of eating raw without getting too deeply into the details of nutrition for those who are anxious to get straight to the information about transforming their bodies. Her background in cellular biology combined with an easy-going writing style make this petite diet manual a real plus to the field of fitness and nutrition. Like Fit for Life, which helped countless people change their eating habits back in the 80s, this book will appeal to anyone wanting to transition to raw foods or just incorporate more raw foods in the diet without going to extremes. But let me tell you, the real kicker here is that the diet includes her Raw Crunch Bars, which are just to die for. I'm totally addicted.",1,5.577557521088239e-68,1
I found this book to be full of practical guidance about how to use storytelling more effectively in business settings. The book reinforced many of beliefs about the use of story as well as providing a great deal of evidence about its effectiveness. I recommend this book to those who wish to be more effective communicators in business,1,1.3808934083674568e-32,1
"I became engrossed in this book from the minute I started reading it. Ms.O'Connor has that uncanny knack of being able to write insightfully about both men and women, and as I grew to know them intimately and experience their emotions and passions, I found myself deeply rooting for each of them. Their attitudes towards the theatre and towards each other kept growing and changing -- always with a wit underneath that was enormously appealing. I felt as if I had spent many hours with friends I cared about. I hated finishing this book..",1,2.7044934173924704e-89,1
"Wolfgang Lotz's Architecture in Italy, 1500-1600 is a wonderful introduction and survey of the majesty of Italian Renaissance Architecture. I had the privilage of studying under Richard Tuttle who is recognized in the introduction, who showed me the brilliance of Lotz's work as well as his ability to show the beauty of architecture. This book is a must for any serious academic student or architectural enthusiast. Lotz's presentation of Italian Architecture is a continuation of Ludwig Heydenreich's Architecture in Italy, 1400-1500, and when read together is certainly the definitive work on Renaissance Architecture. The marvelous pictures and diagrams are the best published images I have come across",1,3.0889995146509564e-06,0.9999969110004854
"This is such an inspiring book for the person trying to get excited about cooking for two. The recipes are fast, flavorful, easy-to-prepare and guaranteed to get compliments from those with whom you share them. They can also be converted to serve more than 2 people. These authors have done an outstanding job coming up with convenient dishes that don't taste that way, all presented in a fun yet stylish format. If you need a little culinary inspiration, regardless of how many you are serving, you'll love this book",1,1.3116440835840184e-47,1
"If you are having problems finding the words or techniques to lovingly and effectively correct your children this IS the book for you.I became the instant (step)parent of two boys 7 and 9 who are for the most part great children, but at times need to be disciplined. I was at a loss at to how to approach the problem, but this book has given me clear and direct tools to become an effective parent",1,5.777978888493572e-29,1
"Albert Goldman, the author of this book is on one level, a brilliant writer......But, his entire slant toward John Lennonis negative...and he seems jealous of John Lennon.. he has mad jealousy!!!That's the only conclusion I can come to here... and In the end, I really don't think this can be considered an autobiography of Lennon becausewhatever objectivity Goldman does retain is overshadowed by his gross subjective generalized reasoning...So it's a bathroom trashy, somewhat fictionalized account of John Lennon and it's one of the mostentertaining things I've ever read... and I love John and Yoko even more afterhaving read it... it makes you become obsessed with their myth..",1,3.840332459925751e-61,1
"The author continues to share with us his ideas for dynamic color. It is okay to use those large florals and striped patterns in the same quilt! Another book of awesome, beautiful quilts to make. The instructions are concise and easy to read. All the templated needed to complete the projects are included.",1,1.6478207579628983e-81,1
"I thought the book was very good. Anderson's background contributed to that. He is a scholar, having taught Islamic law in England for many years, but he also takes an evangelical approach, which is helpful for Christians with traditional backgrounds. He also refutes many of the better known pluralists (Hicks, Cantwell, etc.), and helps the average person better understand the whole issue. This issue is extremely important to the church. Anderson discusses such questions as: Is Christianity unique? Can one be saved by any other name but Jesus? and so forth. This is a good book to read about this important subject and while meaty it is not too hard for most lay people to read and get something out of it",1,2.188966932390205e-44,1
I love this book in Spanish as much as I do in English. It doesn't lose any of it's rythme in the translation,1,2.9397503939142987e-30,1
"I'm only a few months into my marriage, but have been feeling suffocated- even though we lived together for TWO YEARS prior to making it to the altar. I didn't expect to miss my single life so much and to go through an identity crisis. This book made me realize that my feelings are normal and that I'm not alone on an island. I love my husband dearly and have felt guilty for feeling so uneasy and this book has made me feel 100% better. I recommend this to new brides, anyone who relished single life prior to settling down, or anyone who was/is just plain nervous about being married. This book has affected my marriage for the better",1,0,1
"You'll feel like you just had a scintillating dinner conversation with some of the top players in the publishing industry. This book is firmly grounded in reality and offers so much more than a pseudo-""sure-fire formula"" for hitting bestseller lists-- it offers real insight into the ways success flourishes. This is a book you'll want to read again and again to glean new pieces of wisdom each time. [...",1,2.192201957229715e-67,1
"This volume contains exceptional philosophical articles on the philosophy of Sartre. It covers every and all aspect of his life and thoughts. The critiques pull no punches and omit nothing. This work takes a hard look at the soundness of Sartre's philosophy. To find out if they hold up, read this volume. p.s. The interview with Sartre durring his later years is worth the price of the book alone. If you like Sartre, you will love this book",1,9.453907476001232e-49,1
"This is by far the best book in the subject, as one can see surfing through the sites of CA courses in several universities around the world. The most important feature of the book is the well founded exposition. With the book it is possible to understand why the designers of modern computers take the decisions that we read in the processor reports. Every decision is based in performance measures and good cost-benefit relation. The book emphasizes this point of view. Every thing must be measured in order to take the right decision. Also this is the reason because several more recent books are not bestsellers as this book in a field where the time is very important, the principles remains. However I hope a new edition sonner. Please Mr. Henessy and Mr. Patterson",1,2.134743628357957e-24,1
"This book was key in my passing of the CLEP US History I exam. I read it from cover to cover and did the practice tests repeatedly until I got the answers correct. The only shortfall of the book is that it doesn't cover the ""antebellum"" period to the level that matches the exam. I suggest supplementing this book with instantcert.com flashcards and I also used sparknotes US History flashcards and timeline. In the end I found an old high school history textbook and used it to cement all the facts I had learned. Pay key attention to the order things happened and who intitiated certain acts and movements.Overall, this book is a must-have for prepping. I passed with a 69.",1,1.0535856572656467e-77,1
"I thought this biography was detailed mostly around this film. On page 262, first paragraph, I think Mr. Coppola would agree to mention the fact that &quot;The Chief Phillips&quot; made a life last attempt to end Willard after getting speared on the boat by Kurtz's mongrules. Overall, the book was a manificant biography of a Itailian-American film maker of our time",1,2.680990072670506e-57,1
"This one is awesome. I followed the series of Inspector Banks books from In A Dry Season onward and this one is probably the best so far.Part of the reason is that the protagonist, Alan Banks got fixed pretty good in the previous book -Playing With Fire. This story starts with him still recovering from all the psychological and physical wounds that he had incurred previously. You follow along with his struggles through his attempt at coming back to a place where he can be normal again, as well as the rebuilding of his home as well as his relationships with his co-workers, especially with Annie Cabbot. The story then forces him to re-establish or re-evaluate his relationsip with his younger brother, the evidence of the their relationship had been hinted at throughout the previous books, but this book places the relationship front and center.Robinson once again uses his signature plot device: the dual story and the intertwining of the twin narratives. Whereas previously Robinson used this device to tell two stories which are related in a philosophical sense, this time the two murders are intimately related and inextricably become the same investigation. Robinson builds the plot line and the tempo of the narrative brilliantly. This time, he is a little more guarded with his storyline so that he doesn't telegraph the ending as much as he did with Playing With Fire, which makes for a much more satisfying ending. This particular will be my personal favorite out of the series so far just because it involves so many emotional changes with the characters and the story line is so personal for Banks. Robinson has also started to flesh out the other detectives at Eastvale, giving them points of views, foiles, strengths and weaknesses. It makes me care a lot more about the story and it also makes the story much more complicated and real",1,2.680990072670506e-57,1
"What can you say about a book that introdouces three characters in one chapter? Or has a character thats entire vocabulary seems to consist of ""Hotcha, Gotcha"" and says that nearly 10 times a chapter. I would honestly not care if all the people upped and died. This book has no surprises but one, a ""plot twist"" that was obvious 6 chapters away. Did I mention I hate the annoying, underdeveloped, characters. Oh yes. I usually like Bruce Coville, but with this book, he has bought himself to a level of unreadability that is only outclassed by the sequel",1,4.236083546170892e-31,1
"I purchased this book two years ago and read it through, but it didn't impact me very much. I just pulled it out again to reread and was deeply moved by the author's conviction about the spiritual nature of life. Even if one has strong spiritual convictions, it is all too easy to compartmentalize work, family, friends, and spiritual life. Bolles reminded me of the &quot;integrity&quot; of integrated life and work. Although it is very short, this book should not be a quick read, rather, it is something to meditate on",1,4.3664867250072034e-66,1
"This is a great book that I use on a daily basis. Well most of it is reference material, from W3C and elsewhere, it's very well-organized. I owned the previous edition and will probably purchase the next edition as well.",1,1.3977975691656628e-25,1
"Gary Smalley was obviously a horrible husband in the early years of his marriage to a wonderful woman. He later repented, and now he assumes that all women are wonderful and all men are horrible. In the edition of this book that I read, he relates telling an adulterous wife that her affair was completely her husband's fault. Quite frankly, I am offended that Gary Smalley has the unmitigated gall to call himself a Christian.If you are a wife who wants to find many ways to blame all problems on your husband, this is the book for you. However, if you want to have a Godly, fulfilling marriage, try ""His Needs, Her Needs"" by Willard Harley",1,1.2844789566157199e-107,1
My 4 year old son and I read this book 5 out of the seven night a week. He pretends the boy is him and he enjoys the different things to be thankful for. This book is a great way to show your children how beautiful and joyful our world is. We read this book before we say our prayers. My son now starts his prayers off by &quot;I'm thankful for....&quot,1,1.8863160014550976e-35,1
"Are you stuck in the rut of working more and enjoying it less? Have you found your profits dropping while overhead skyrockets? Looking for a way to live your life the way you want to live? If so, buy this book today. In today's difficult investment climate many of us financial advisors have been trapped into doing more service duties, administrative functions and are making less. The authors are living our dream of enjoying the lifestyle we deserve. They show and demonstrate step-by-step complete with specific recommendations of software, hardware and technologies to improve your practice and help you make more money. This well written and extremely interesting book will give you hope and vision to make changes in your practice to enhance your quality of life. I bought this book because I am planning to spend more time in my condo in Colorado and needed ideas on how to do it. The authors delivered exactly what I need to know. As an extra bonus, Joel has been terrific about responding to my questions and emails. Thanks gentlemen; when's the next book coming out",1,2.8347848290588384e-30,1
"Wonderful account of how Euro Americans transformed untamed Native American wilderness into square parcels of real estate. You'll never look at &quot;fly over land&quot; the same way again. I couldn't put this book down, and recommend it to those with any interest in geography, engineering, history, politics, or real estate",1,2.2445522085446093e-87,1
I bought this book for my husband who just recently got his first violin. Its great and he uses it everyday! Its really easy and the pieces on the CD are so helpful to get started,1,3.511925263169991e-31,1
"Richard Dawkins is brilliant. Because he writes so clearly, his colleagues and students learn from him with ease; because he writes so entertainingly, they thoroughly enjoy the learning process. In Grafen and Ridley's compendium, other scientists who have benefited from Dawkins' brilliance build on his work, and provide important commentary and instruction on how to think and reason",1,1.365223252709334e-28,1
"Janie Johnson has just lived through a nightmare. She discovered that she was kidnapped as a child, and now she is back with her birth family, the Springs. They had moved on with their lives, but Janie's (whose real name is Jennie) disappearance cast a shadow over everything. Now Janie has been put back with the Springs. She is traumatized by her findings, and is having a horrible time trying to fit in. Her siblings are angry at how their lives were dramatically changed, and shocked that their sister, who they thought was dead, is back. Her parents are tender but cry at any moment. Janie wants to go back to her old family and old life. Her siblings want revenge. Will Janie be able to fit in, or will she hurt her family once again by returning to the people they think kidnapped her",1,0.24481281537824348,0.7551871846217565
"Scientific theory is born of assumption and bits of unconnected evidence cemented by speculations, associations and a good bit of faith. Given all the uncertainties, how is a theory made viable? WHAT WE BELIEVE BUT CANNOT PROVE: TODAY'S LEADING THINKERS ON SCIENCE IN THE AGE OF CERTAINTY represents the author's interviews with a group of leading scientists and thinkers on the question: What do you believe to be true even though you can't prove it. The answers will amaze you - and you don't have to be a scientist to find them lively and engrossing reflections.Diane C. Donovan, EditorCalifornia Bookwatch",1,8.078170778153587e-62,1
"I consider this one of the best books I have ever written. The Kebra Nagast tells us the biblical background of the Rastafari culture and faith. When I read this book , I was very moved by it and it taught me many things about the Rasta beliefs. It contains great tales of wisdom by Rastas and information of what the Rastas believe in. This book contains information passed down from many generations. I strongly recommend this book to any Rasta or person who is intersted in the Rastafari faith",1,1.287325594543376e-31,1
"Finally, after ten years of teaching RCIA, I have found the book that every teacher's been looking for. Unlike the other materials that we've had to use, these authors don't talk about mystagogy, they DO it. Better, they show how the Church fathers did it. Our parish priest agrees. This is the best resource for our catechumenal candidates",1,5.31341417394081e-66,1
"Soil organisms seldom get their due. Despite the fact that we gain our food directly or indirectly from the soil, few people think much about what exists between the soil particles. In fact the soil is so full of living things that it could almost be considered to be alive itself. If an alien spacecraft landed on almost any soil surface on earth it would find recognizable life processes without much trouble, but then our planet may be a bit weird (at least as weird as Mars or Saturn's moon Titan!).David W. Wolfe has presented a very readable and fascinating view of the soil and its biota in his book ""Tales from the Underground."" From soil microorganisms (some not so ""friendly"") through earthworms to prairie dogs, the reader it treated to a broad panorama of life. It is now suspected that the number of species in the soil (and even into the rocky crust) may be larger than for that on the surface. E. O. Wilson has said that if he were to have another career it would be in the ecology of the microorganisms in tropical soils, and I think he is on to something.Sadly, there are relatively few soil biologists. Specialists in, for example, earthworms (creatures that as Darwin noted are largely responsible for the development of humus in the temperate parts of the world), are few and far between as noted by Ehrenfeld in his book ""Beginning Again."" Yet our crops, and thus our very life on this planet, depend on such soil-forming organisms.I once visited a citrus grove in Florida where nearly every chlorinated hydrocarbon known to man had been used against the ever present insect pests. It was a spooky place. The soil itself could be used as a pesticide and there were, as far as I could ascertain, no ants or spiders. While I was there I heard no birds singing. All of these observations were certainly odd as in every other grove I had ever visited both ants and spiders were common and bird song could be heard periodically. The only living creatures I found were earwigs! Thousands of them existed under the leaf litter. Apparently resistant to the DDT, chlordane, toxophene, aldrin and dialdrin that had been used on the grove, they had proliferated beyond belief. Human activities such as this, as noted by Wolfe, need to be mitigated if we are to have a sustainable society. We cannot think of nature as something to conquer. His last chapter ""The Good Earth"" should be read by anyone who has a stake in solving the problems that may lead to our demise as a species- and that means all of us! Still Wolfe points out that we have to be ""conditional optimists"" to progress. Pessimistic despair will get us nowhere and ""pathological optimism"" has gotten us to this point. Perhaps it is a time for moderation in our thinking, while knowing that we may have to make some drastic changes in our attitudes to get anywhere! It is certainly unfortunate that several current governments are still in the ""pathological optimism"" mode, but then facing unpleasant facts is always hard! However, many national and international corporations, the World Bank and a number of insurance agencies are taking the threat seriously. After all they will certainly be affected by such drastic changes that may be in the offing. They cannot afford the head-in-the-sand thinking that politicians seem to need to get re-elected.Read this book- it will change your attitude about the dirt we walk on and from which we probably originated",1,2.6902352520526334e-30,1
"Lets see... Betsy Ross did not make the first flag. ...George Washington may or may not have a) chopped down a cherry tree, b)thrown a coin across a river, c) been a great leader. ...George Bush may or may not have told a lie about Iraq. ...All computer programmers may or may not have souls the size of a mouse's.What do you teach your children? I cannot believe people are squabbling over whether Chief S* (*for those who may or may not want to use the Anglicized name) in fact said something like or unlike the lovely verse in this book.This book is for young children. If you are interested in presenting profound and beautiful words to your kids along with interesting pictures, both of which might very well incite conversation BUY THIS BOOK.If you want guaranteed facts, read them the newspaper. No Wait. That won't do either. Then read them MCSE Guides and Cram Course material. Raise children who think XP is a good idea.Really folks, get a life and remember the target market for this book is not historians. REMEMBER that to a 4 to 8 year old you CANNOT subtract a larger number from a smaller one. Heck, I read my children books about talking mice. This is a lovely book. Five Stars",1,1.6626453987195068e-26,1
"For a single-volume, weighty reference by dog experts, don't miss Dog Bible: The Definitive Source For All Things Dog. Well over two hundred breeds are covered, but it isn't all about dogs: fifty careers with dogs are also included in this manual of health remedies, emergency solutions, grooming hints and training tips. Each dog's definitive overview includes country of origin, alternate names, and characteristics, while chapters covering life with a dog, dog-friendly rental housing, and more cover all the issues likely to arise under dog ownership. Especially recommended as a library foundation pick",1,1.2760437946515513e-76,1
"My fiance and I stayed up one night reading this book and almost wet the bed, we were laughing so hard. This is a book that can bring a couple together during potentially trying times",1,9.099389940863756e-34,1
"By blood Alone is a very intresting addidtion to the &quot;legion&quot; seris of books. Its about honor, glory and all those great military ideals that are sometimes lacking in todays world powers. If you liked legion of the damned you will most probably like this book also... I can't see why you wouldn't. I can't wait for the next..",1,9.838956992500883e-26,1
"This book reminded me of a porn movie; lots of sex but no plot and no character development. How did these two decide that they loved each other anyway? All they really seemed to know about each other was how to make the other climax. This was a real disappointment. I like steamy sex scenes too, but they have to be built around characters that I grow to care about and get to know. There was no romance in this book at all",1,6.357546035450634e-64,1
"This is a basic and comprehensive book about the processes that affect coral reefs. Exelent edition by Birkeland, includes some of the most restpectable scientists in the field. the book includes plentiful references very useful if you need to start a search in any of the topics included in the book",1,5.4181138822887366e-93,1
"""If you are lucky enough to have lived in Paris as a young man,"" Hemingway wrote, ""then wherever you go for the rest of your life, it stays with you, for Paris is a moveable feast."" For this reason, in 1995, New Yorker ""Paris Journals"" columnist, Adam Gopnik, and his wife, Martha, moved to Paris so that their son, Luke, could grow up ""someplace where everything he sees is beautiful"" (p. 167). M. F. K. Fisher observed in her book, THE GASTRONOMICAL ME, that Paris ""should always be seen, the first time, with the eyes of childhood or of love."" In the 23 essays and journal entries that constitute PARIS TO THE MOON, Gopnik's best writing occurs when he is describing Paris through the experiences of his young son, though as a whole, the book may be read as an intimate memoir of Gopnik's five-year (1995-2000) love affair with The City of Lights--its cafs, brasseries, and shops, the aesthetics of the carousel in Luxembourg Gardens (in striking contrast to the stupidity of Barney on American television), and the never-ending, small moments that that infuse his life in Paris with profound meaning. During his tryst, however, Gropnik also learns that Paris can be difficult mistress. For instance, he recalls the frustrations he encountered upon joining a French health club, and in attempting to purchase a Thanksgiving turkey during a 1995 strike. While he offers no apologies for mooning sentimentally over his subject, Gropnik never loses his objective, journalist's eye in writing about his subject. Equally funny and intelligent, Gopnik's observations will not only appeal to readers of the New Yorker magazine, but to anyone interested in French culture, cuisine, and bureaucracy. G. Merritt",1,8.95624304996826e-32,1
"This book is an excellent primer for anyone interested in woodworking with handtools. Clear illustrations identify tool particulars and correct usage and maintenance of each. All woodworking handtools from handplanes to screwdrivers are included. Also included is an appendix listing essential handtools for any woodshop. I have found this appendix, and the book itself, indispensable",1,6.689896822583374e-27,1
"I have been in practice for over 25 years, treating adults and children alike, I have read many books on the subject of ADD and ADHD and frankly I found this book to be full of the same old sham treatments that don't work any better than snake oil.This guy is a snake oil salesman!Dr. Stanley J. Steinberg D.C",1,8.858046289468517e-14,0.9999999999999114
I've always wanted to have my own Japanese garden but whenever I bought a book on the subject it was just too complicated and complex to understand. Takashi Sawano has managed to write a book for those of us who aren't born gardeners! It's easy to understand and now I have a fabulous Japanese garden that all my friends rave about. I really can't recommend this book enough. If you want an authentic Japanese garden that looks like it's straight out of Japan then buy this book and you can do it all on your own,1,4.5493771879893547e-29,1
"The behind the scenes stories Mr. Mills tells of the players and the traditions at Wimbledon over his long and illustrious career are amazing. He has the deep background and insights into personalities (he likes Jonhny Mac, but even through his British restraint you can tell he thinks Jimbo is just a big bully) - for all of us who've wondered what it is he says to the winners, and even more deeply felt to the losers, after a championship, you get to read it here.He shares insights into the reasons behind the decline in British tennis.I have always thought he was one of The proverbial British gentlemen, and was not disappointed.A must read for tennis fan",1,2.9061150889780794e-08,0.9999999709388491
"I read this book for the 1st time right after I became a new Christian almost 20 years ago. It changed my life. The title that Melody used for this book perfectly described Keith Green's heart. He made many mistakes and was often over zealous in his faith, but what inspired me the most was his complete trust in God at all costs. He gave up the opportunity to be rich and famous according to the world's standards, and in turn became rich and famous according to God's standards. I recently read this book again and cried so hard I couldn't breathe. Not so much for Keith & his family, but for myself, that I wish that I had even a fraction of the faith and zeal that Keith had.",1,4.996231913059994e-28,1
This book is a must have and big thanks to Scott for writing it. I knew I had only scratched the surface of Soundforge's power and this book reaffirmed that. This book is only eclipsed by the genius of the software itself. Niice,1,4.446402362275392e-29,1
"When I first started reading this book, I thought it was good but lacked a little in detail. It skimmed over some parts when discussing various events the band experienced. At first, I thought this was because so much has been written about these before. But as I read on, it appears more that the author either didn't do his research, or didn't do enough of it. When it comes to Kurt's experiences with Courtney, no mention is made of Courtney's actions, leaving the reader to believe Kurt was always at fault. Also, it glossed over the heartbreak Kurt suffered when Frances was taken away and what they both went through to get her back. Considering what an impact this had on all three of them, the lack of information is questionable, at best. He also never mentions the fact that the doctor who treated Kurt during the Rome incident said there was no evidence Kurt had swallowed ANY, let alone 50, Rohynols. He simply goes by Courtney's comments around this event. When it comes down to Kurt's death, not only does the author always refer to it as a suicide, which has not been 100% proven to many people, but he gets his 'facts' wrong. Kurt was not disfigured so badly that he could only be identified by his fingerprints. He did not barricade himself in the greenhouse; the stool in front of the back door - where there was no way of gaining entry as it was a balcony - was a small barstool that couldn't block anything even if someone could scale the balcony. Kurt's wallet wasn't lying open next to his body; a policeman stated HE had opened the wallet and put it there when they were taking pictures. Also, Wendy didn't make the missing person's police report; Courtney has admitted that she called the police pretending to be Wendy. The author states that Wendy, Courtney, and Krist decided where Kurt's ashes would be spread. As far as anyone knows, besides Courtney, some of Kurt's ashes were made into several tsatsas by monks in Ithaca, NY, some were buried under a tree at the Lake Washington house (both of these according to Courtney), and some were allegedly spread on the Wishkah River. No one really knows what happened to Kurt's ashes, except for Courtney. When one looks at these items the author either didn't include, or made major mistakes about, it makes it hard to take any of the rest of the book as truth. While it's a good read - at least the first part of it - there are many other books out there about Kurt that are much better",1,4.772085862205045e-75,1
"First, don't let this book make you decide on the rest of the series. It's supposed to be a long version of Romero's Dawn of the Dead. The zombies and the rules are the same, but the story takes its own twists and turns. This story takes a look at the human aspect of a zombie outbreak and how the people deal with the situations that arise. It's a great case study of human relationships under the strain of constant tragedy. My friends that have borrowed this or gotten it themselves, have become addicted to it. It's a great series",1,2.836643727913949e-72,1
Mass Affluence complements The Dollarization Discipline (Fox and Gregory)by explaining the emotional needs of today's mass-market customer (the end-user to our broadcaster customers). Put the two together to see how product development and sales should work in the coming decade.(Review based on reading a commercial executive summary of both books.,1,4.4066846382667386e-82,1
"There are reams and reams of investment valuation books on the market -- that is obvious.In my opinion, the three no one should be without are Applied Equity Analysis, Stephen Penman's monster tome ""financial statements and..."", and lastly, Aswath Damadoran's book, ""investment valuation.""Most hyperventilating MBAs default to Damadoran; I really enjoy the simplicity behind Applied Equity Analysis.Caution: Neither of the 3 are what you'd call ""light reading.""If you have any money left, honorable mention goes to Cooke's ""security analysis on wall street.",1,3.1319824690869e-51,1
